course,skills,level
AWS Cloud Practitioner,cert aws cloud computing job iiit diploma cloud basics,iiit-job-pg
MCA,MCA Masters Computer Applications programming advanced software masters bca,degree-pg-job
MBA,MBA Masters Business Administration management commerce finance bcom bba,degree-pg-job
MSc Computer Science,MSc CS advanced algorithms ai masters bsc computers science,degree-pg-job
LLB,Bachelor Laws legal law llb bca integrated law tech compliance,degree-pg-job
Software Engineer Job,software engineer developer coding job btech bca experience,degree-pg-job
Data Scientist Job,data scientist ml ai python job bca btech analytics,degree-pg-job
Business Analyst Job,business analyst requirements commerce bcom mba job,degree-pg-job
Polytechnic Diploma CSE,Polytechnic Diploma Computer Science Engineering c programming data structures networking diploma polytechnic maths physics practical training,10th-inter
Polytechnic Diploma IT,Polytechnic Diploma Information Technology programming web development database diploma polytechnic computers software development,10th-inter
Polytechnic Diploma ECE,Polytechnic Diploma Electronics Communication Engineering circuits digital electronics communication diploma polytechnic physics,10th-inter
Polytechnic Diploma Mechanical,Polytechnic Diploma Mechanical Engineering manufacturing drawing cad workshop diploma polytechnic maths physics mechanics,10th-inter
Polytechnic Diploma Civil,Polytechnic Diploma Civil Engineering construction surveying autocad diploma polytechnic maths physics,10th-inter
Polytechnic Diploma EEE,Polytechnic Diploma Electrical Electronics Engineering electrical circuits wiring diploma polytechnic physics electricity,10th-inter
Polytechnic Diploma Chemical,Polytechnic Diploma Chemical Engineering chemistry process control diploma polytechnic chemistry physics maths bipc,10th-inter
Polytechnic Diploma Automobile,Polytechnic Diploma Automobile Engineering vehicles engines workshop diploma polytechnic mechanical physics,10th-inter
Polytechnic Diploma Mechatronics,Polytechnic Diploma Mechatronics robotics automation electronics mechanical diploma polytechnic mpc,10th-inter
Polytechnic Diploma AI ML,Polytechnic Diploma Artificial Intelligence Machine Learning python ai basics diploma polytechnic computers maths,10th-inter
